--------- beginning of /dev/log/system
07-14 12:14:51.338 W/ActivityManager(  374):   Force finishing activity com.android.packageinstaller/.PackageInstallerActivity
07-14 12:14:51.580 W/ActivityManager(  374):   Force finishing activity com.pekall.emdm/.market.activity.AppListActivity
07-14 12:14:52.080 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{42e8dd90 u0 com.android.packageinstaller/.PackageInstallerActivity}
07-14 12:26:24.955 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:26:24.963 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:26:24.971 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:26:25.018 I/ActivityManager(  374): No longer want com.google.android.gsf.login (pid 3267): empty #17
07-14 12:26:25.705 I/ActivityManager(  374): No longer want net.nurik.roman.dashclock (pid 1158): empty #17
07-14 12:26:25.729 W/ActivityManager(  374): Scheduling restart of crashed service net.nurik.roman.dashclock/com.google.android.apps.dashclock.DashClockService in 5000ms
07-14 12:26:26.057 W/PackageParser(  636): No actions in intent filter at /storage/emulated/0/Download/emmp.apk Binary XML file line #687
07-14 12:26:26.291 W/PackageParser(  636): No actions in intent filter at /storage/emulated/0/Download/emmp-1.apk Binary XML file line #687
07-14 12:26:26.682 W/PackageParser(  636): No actions in intent filter at /storage/emulated/0/360Download/Pekall.apk Binary XML file line #685
07-14 12:26:27.237 W/PackageParser(  636): Unknown element under <application>: intent-filter at /storage/emulated/0/360MobileSafe_5.2.3.1061.apk Binary XML file line #1165
07-14 12:26:27.260 W/PackageParser(  636): Unknown element under <application>: intent-filter at /storage/emulated/0/360MobileSafe_5.2.3.1061.apk Binary XML file line #1423
07-14 12:26:27.682 I/ActivityManager(  374): No longer want com.google.android.apps.maps:FriendService (pid 5026): empty #17
07-14 12:26:29.166 I/ActivityManager(  374): No longer want com.google.android.apps.maps:LocationFriendService (pid 5038): empty #17
07-14 12:26:30.737 I/ActivityManager(  374): Start proc net.nurik.roman.dashclock for service net.nurik.roman.dashclock/com.google.android.apps.dashclock.DashClockService: pid=5782 uid=10070 gids={50070, 3003, 1028}
07-14 12:26:30.791 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:26:30.791 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:26:30.799 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:26:30.799 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:26:30.799 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:26:30.799 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:26:30.830 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:26:30.838 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:26:30.846 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:26:30.846 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:26:30.846 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:26:30.854 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:26:30.885 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:26:30.885 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:26:31.846 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:26:31.854 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:26:31.862 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:26:31.862 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:26:31.862 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:26:31.862 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:26:31.862 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:26:31.893 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:26:31.893 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:26:31.893 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:26:31.901 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:26:31.901 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:26:31.901 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:26:31.901 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:26:32.408 I/ActivityManager(  374): START u0 {act=android.intent.action.VIEW dat=file:///storage/emulated/0/MDM/download/commojimjweather.apk typ=application/vnd.android.package-archive flg=0x10000000 cmp=com.android.packageinstaller/.PackageInstallerActivity} from pid 3494
07-14 12:26:36.190 I/ActivityManager(  374): START u0 {dat=file:///storage/emulated/0/MDM/download/commojimjweather.apk cmp=com.android.packageinstaller/.InstallAppProgress (has extras)} from pid 5527
07-14 12:26:36.588 W/ActivityManager(  374): No content provider found for permission revoke: file:///storage/emulated/0/MDM/download/commojimjweather.apk
07-14 12:26:46.705 I/PackageManager(  374): Verification timed out for file:///storage/emulated/0/MDM/download/commojimjweather.apk
07-14 12:26:46.705 I/PackageManager(  374): Continuing with installation of file:///storage/emulated/0/MDM/download/commojimjweather.apk
07-14 12:26:47.221 W/ActivityManager(  374): No content provider found for permission revoke: file:///storage/emulated/0/MDM/download/commojimjweather.apk
07-14 12:26:47.221 I/PackageManager(  374): Copying native libraries to /data/app-lib/vmdl1118103314
07-14 12:26:51.057 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:26:51.073 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:26:52.354 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:26:52.908 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:26:52.940 I/WindowManager(  374): Lock screen displayed!
07-14 12:26:53.479 I/ActivityManager(  374): Process com.qihoo360.mobilesafe (pid 5600) has died.
07-14 12:26:53.799 I/ActivityManager(  374): Force stopping package com.moji.mjweather appid=10082 user=-1
07-14 12:26:54.260 I/PackageManager(  374): Package com.moji.mjweather codePath changed from /data/app/com.moji.mjweather-1.apk to /data/app/com.moji.mjweather-2.apk; Retaining data and using new
07-14 12:26:54.533 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:26:54.627 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:26:54.658 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@431cfbd0 attribute=android.view.inputmethod.EditorInfo@43358f90, token = android.os.BinderProxy@4339a2b8
07-14 12:26:56.838 I/ActivityManager(  374): Force stopping package com.moji.mjweather appid=10082 user=-1
07-14 12:26:56.846 W/PackageManager(  374): Code path for pkg : com.moji.mjweather changing from /data/app/com.moji.mjweather-1.apk to /data/app/com.moji.mjweather-2.apk
07-14 12:26:56.846 W/PackageManager(  374): Resource path for pkg : com.moji.mjweather changing from /data/app/com.moji.mjweather-1.apk to /data/app/com.moji.mjweather-2.apk
07-14 12:26:57.065 W/PackageManager(  374): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.google.android.browser (protectionLevel=2 flags=0x89be45)
07-14 12:26:57.065 W/PackageManager(  374): Not granting permission android.permission.WRITE_SECURE_SETTINGS to package com.qihoo360.mobilesafe.opti.powerctl (protectionLevel=50 flags=0x80be44)
07-14 12:26:57.065 W/PackageManager(  374): Unknown permission android.permission.READ_SETTINGS in package com.qihoo360.mobilesafe.opti.powerctl
07-14 12:26:57.073 W/PackageManager(  374): Not granting permission android.permission.READ_LOGS to package com.qihoo360.mobilesafe.opti.powerctl (protectionLevel=50 flags=0x80be44)
07-14 12:26:57.073 W/PackageManager(  374): Not granting permission android.permission.STATUS_BAR to package com.qihoo360.mobilesafe.opti.powerctl (protectionLevel=18 flags=0x80be44)
07-14 12:26:57.073 W/PackageManager(  374): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.android.phone
07-14 12:26:57.080 W/PackageManager(  374): Unknown permission com.android.smspush.WAPPUSH_MANAGER_BIND in package com.android.phone
07-14 12:26:57.080 W/PackageManager(  374): Not granting permission android.permission.READ_LOGS to package com.qihoo.root (protectionLevel=50 flags=0x80be44)
07-14 12:26:57.080 W/PackageManager(  374): Not granting permission android.permission.INSTALL_PACKAGES to package com.qihoo.root (protectionLevel=18 flags=0x80be44)
07-14 12:26:57.080 W/PackageManager(  374): Not granting permission android.permission.DELETE_PACKAGES to package com.qihoo.root (protectionLevel=18 flags=0x80be44)
07-14 12:26:57.080 W/PackageManager(  374): Unknown permission com.android.vending.billing.IBillingAccountService.BIND2 in package com.google.android.gsf.login
07-14 12:26:57.080 W/PackageManager(  374): Unknown permission com.android.chrome.TOS_ACKED in package com.google.android.gsf.login
07-14 12:26:57.088 W/PackageManager(  374): Unknown permission com.android.gallery3d.permission.GALLERY_PROVIDER in package com.android.bluetooth
07-14 12:26:57.088 W/PackageManager(  374): Not granting permission android.permission.INSTALL_PACKAGES to package com.mgyapp.android (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.088 W/PackageManager(  374): Not granting permission android.permission.DELETE_PACKAGES to package com.mgyapp.android (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.088 W/PackageManager(  374): Not granting permission android.permission.FORCE_STOP_PACKAGES to package com.mgyapp.android (protectionLevel=2 flags=0x88be44)
07-14 12:26:57.088 W/PackageManager(  374): Not granting permission android.permission.DELETE_CACHE_FILES to package com.mgyapp.android (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.088 W/PackageManager(  374): Not granting permission android.permission.READ_LOGS to package com.mgyapp.android (protectionLevel=50 flags=0x88be44)
07-14 12:26:57.088 W/PackageManager(  374): Not granting permission android.permission.WRITE_SECURE_SETTINGS to package com.mgyapp.android (protectionLevel=50 flags=0x88be44)
07-14 12:26:57.088 W/PackageManager(  374): Unknown permission android.permission.READ_OWNER_DATA in package com.mgyapp.android
07-14 12:26:57.088 W/PackageManager(  374): Unknown permission android.permission.WRITE_OWNER_DATA in package com.mgyapp.android
07-14 12:26:57.088 W/PackageManager(  374): Not granting permission android.permission.ACCESS_CACHE_FILESYSTEM to package com.mgyapp.android (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.088 W/PackageManager(  374): Not granting permission android.permission.WRITE_APN_SETTINGS to package com.mgyapp.android (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.088 W/PackageManager(  374): Not granting permission android.permission.MOUNT_UNMOUNT_FILESYSTEMS to package com.mgyapp.android (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.088 W/PackageManager(  374): Unknown permission android.permission.RECEIVE_USER_PRESENT in package com.mgyapp.android
07-14 12:26:57.096 W/PackageManager(  374): Not granting permission android.permission.MODIFY_PHONE_STATE to package com.qihoo360.mobilesafe (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.096 W/PackageManager(  374): Not granting permission android.permission.WRITE_SECURE_SETTINGS to package com.qihoo360.mobilesafe (protectionLevel=50 flags=0x88be44)
07-14 12:26:57.096 W/PackageManager(  374): Not granting permission android.permission.WRITE_APN_SETTINGS to package com.qihoo360.mobilesafe (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.096 W/PackageManager(  374): Not granting permission android.permission.READ_LOGS to package com.qihoo360.mobilesafe (protectionLevel=50 flags=0x88be44)
07-14 12:26:57.096 W/PackageManager(  374): Unknown permission com.qihoo360.mobilesafe_lite.permission.FORCE_CLOSE in package com.qihoo360.mobilesafe
07-14 12:26:57.096 W/PackageManager(  374): Unknown permission telecom.mdesk.permission.FORCE_CLOSE in package com.qihoo360.mobilesafe
07-14 12:26:57.096 W/PackageManager(  374): Not granting permission android.permission.INSTALL_PACKAGES to package com.qihoo360.mobilesafe (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.096 W/PackageManager(  374): Not granting permission android.permission.SET_ALWAYS_FINISH to package com.qihoo360.mobilesafe (protectionLevel=50 flags=0x88be44)
07-14 12:26:57.096 W/PackageManager(  374): Unknown permission android.permission.ACCESS_SUPERUSER in package com.qihoo360.mobilesafe
07-14 12:26:57.096 W/PackageManager(  374): Unknown permission com.qihoo360.mobilesafe.shield.permission.broadcast in package com.qihoo360.mobilesafe
07-14 12:26:57.096 W/PackageManager(  374): Unknown permission com.qihoo360.contacts.permission.broadcast in package com.qihoo360.mobilesafe
07-14 12:26:57.096 W/PackageManager(  374): Unknown permission com.qihoo360.privatehome.permission.openAppActivity in package com.qihoo360.mobilesafe
07-14 12:26:57.096 W/PackageManager(  374): Not granting permission android.permission.INSTALL_PACKAGES to package com.qihoo.appstore (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.104 W/PackageManager(  374): Not granting permission android.permission.DELETE_PACKAGES to package com.qihoo.appstore (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.104 W/PackageManager(  374): Not granting permission android.permission.CLEAR_APP_USER_DATA to package com.qihoo.appstore (protectionLevel=2 flags=0x88be44)
07-14 12:26:57.104 W/PackageManager(  374): Not granting permission android.permission.WRITE_MEDIA_STORAGE to package com.qihoo.appstore (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.104 W/PackageManager(  374): Not granting permission android.permission.ACCESS_CACHE_FILESYSTEM to package com.qihoo.appstore (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission android.permission.READ_OWNER_DATA in package com.qihoo.appstore
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission android.permission.WRITE_OWNER_DATA in package com.qihoo.appstore
07-14 12:26:57.104 W/PackageManager(  374): Not granting permission android.permission.CHANGE_CONFIGURATION to package com.qihoo.appstore (protectionLevel=50 flags=0x88be44)
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission com.htc.launcher.permission.READ_SETTINGS in package com.qihoo.appstore
07-14 12:26:57.104 W/PackageManager(  374): Not granting permission android.permission.DEVICE_POWER to package com.qihoo.appstore (protectionLevel=2 flags=0x88be44)
07-14 12:26:57.104 W/PackageManager(  374): Not granting permission android.permission.MOUNT_UNMOUNT_FILESYSTEMS to package com.qihoo.appstore (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission com.huaqin.launcherEx.permission.READ_SETTINGS in package com.qihoo.appstore
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission com.huaqin.launcherEx.permission.WRITE_SETTINGS in package com.qihoo.appstore
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission com.android.launcher.permission.READ_PHONE_STATE in package com.qihoo.appstore
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission com.huawei.launcher3.permission.READ_SETTINGS in package com.qihoo.appstore
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission com.qihoo360.launcher.permission.WRITE_SETTINGS in package com.qihoo.appstore
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission com.qihoo360.launcher.permission.READ_SETTINGS in package com.qihoo.appstore
07-14 12:26:57.104 W/PackageManager(  374): Not granting permission android.permission.DEVICE_POWER to package com.google.android.deskclock (protectionLevel=2 flags=0xc8be45)
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission android.permission.READ_OWNER_DATA in package com.google.android.setupwizard
07-14 12:26:57.104 W/PackageManager(  374): Unknown permission android.permission.WRITE_OWNER_DATA in package com.google.android.setupwizard
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission android.permission.ACCESS_MTK_MMHW in package com.qihoo.permroot
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission com.google.android.voicesearch.SHORTCUTS_ACCESS in package com.google.android.googlequicksearchbox
07-14 12:26:57.112 W/PackageManager(  374): Not granting permission android.permission.ACCOUNT_MANAGER to package com.google.android.music (protectionLevel=2 flags=0x88be65)
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission android.permission.READ_OWNER_DATA in package com.nd.assistance
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission android.permission.WRITE_OWNER_DATA in package com.nd.assistance
07-14 12:26:57.112 W/PackageManager(  374): Not granting permission android.permission.DEVICE_POWER to package com.nd.assistance (protectionLevel=2 flags=0x80ae46)
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission com.android.providers.im.permission.READ_ONLY in package com.google.android.apps.maps
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission android.permission.ACCESS_SUPERUSER in package com.jrummy.root.browser
07-14 12:26:57.112 W/PackageManager(  374): Not granting permission android.permission.ACCESS_CHECKIN_PROPERTIES to package com.google.android.apps.googlevoice (protectionLevel=18 flags=0x8be44)
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission com.google.android.apps.googlevoice.REMOTE_INTENT in package com.google.android.apps.googlevoice
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission com.google.android.permission.RECEIVE_DATA_MESSAGE in package com.google.android.apps.googlevoice
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission com.google.android.permission.SEND_DATA_MESSAGE in package com.google.android.apps.googlevoice
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission com.android.providers.voicemail.permission.READ_WRITE_ALL_VOICEMAIL in package com.google.android.apps.googlevoice
07-14 12:26:57.112 W/PackageManager(  374): Unknown permission com.android.providers.voicemail.permission.READ_WRITE_OWN_VOICEMAIL in package com.google.android.apps.googlevoice
07-14 12:26:57.119 W/PackageManager(  374): Not granting permission com.google.android.apps.dashclock.permission.READ_EXTENSION_DATA to package com.betterapps.dashclock (protectionLevel=2 flags=0x8bbe44)
07-14 12:26:57.119 W/PackageManager(  374): Not granting permission android.permission.READ_LOGS to package com.pekall.emdm (protectionLevel=50 flags=0x88be46)
07-14 12:26:57.119 W/PackageManager(  374): Not granting permission android.permission.BIND_APPWIDGET to package com.pekall.emdm (protectionLevel=18 flags=0x88be46)
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission com.pekall.emdm.launcher.permission.READ_SETTINGS in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission com.pekall.emdm.launcher.permission.WRITE_SETTINGS in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Not granting permission android.permission.CHANGE_CONFIGURATION to package com.pekall.emdm (protectionLevel=50 flags=0x88be46)
07-14 12:26:57.119 W/PackageManager(  374): Not granting permission android.permission.INSTALL_PACKAGES to package com.pekall.emdm (protectionLevel=18 flags=0x88be46)
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.ENTERPRISE_DEVICE_ADMIN in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_APP_MGMT in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_BLUETOOTH in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_INVENTORY in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_EXCHANGE in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_ROAMING in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_WIFI in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_SECURITY in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_HW_CONTROL in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_RESTRICTION in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_LOCATION in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Not granting permission android.permission.INTERACT_ACROSS_USERS_FULL to package com.pekall.emdm (protectionLevel=2 flags=0x88be46)
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_CALLING in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_EMAIL in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_VPN in package com.pekall.emdm
07-14 12:26:57.119 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_APN in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_PHONE_RESTRICTION in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_BROWSER_SETTINGS in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_DATE_TIME in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_ENTERPRISE_VPN in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_FIREWALL in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_APP_PERMISSION_MGMT in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission android.permission.sec.MDM_KIOSK_MODE in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Not granting permission android.permission.ACCESS_DOWNLOAD_MANAGER to package com.pekall.emdm (protectionLevel=18 flags=0x88be46)
07-14 12:26:57.127 W/PackageManager(  374): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.pekall.emdm (protectionLevel=2 flags=0x88be46)
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission com.pekall.emdm.browser.permission.READ_HISTORY_BOOKMARKS in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission com.pekall.emdm.browser.permission.WRITE_HISTORY_BOOKMARKS in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission com.pekall.semail.permission.READ_ATTACHMENT in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Unknown permission com.pekall.semail.permission.ACCESS_PROVIDER in package com.pekall.emdm
07-14 12:26:57.127 W/PackageManager(  374): Not granting permission android.permission.WRITE_APN_SETTINGS to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
07-14 12:26:57.127 W/PackageManager(  374): Not granting permission android.permission.INSTALL_PACKAGES to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
07-14 12:26:57.127 W/PackageManager(  374): Not granting permission android.permission.CHANGE_CONFIGURATION to package com.dragon.android.pandaspace (protectionLevel=50 flags=0x80be44)
07-14 12:26:57.127 W/PackageManager(  374): Not granting permission android.permission.READ_LOGS to package com.dragon.android.pandaspace (protectionLevel=50 flags=0x80be44)
07-14 12:26:57.127 W/PackageManager(  374): Not granting permission android.permission.PACKAGE_USAGE_STATS to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
07-14 12:26:57.127 W/PackageManager(  374): Not granting permission android.permission.MOUNT_UNMOUNT_FILESYSTEMS to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
07-14 12:26:57.135 W/PackageManager(  374): Not granting permission android.permission.SET_ACTIVITY_WATCHER to package com.dragon.android.pandaspace (protectionLevel=2 flags=0x80be44)
07-14 12:26:57.135 W/PackageManager(  374): Not granting permission android.permission.DELETE_PACKAGES to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
07-14 12:26:57.135 W/PackageManager(  374): Not granting permission android.permission.CHANGE_COMPONENT_ENABLED_STATE to package com.dragon.android.pandaspace (protectionLevel=18 flags=0x80be44)
07-14 12:26:57.135 W/PackageManager(  374): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.vending (protectionLevel=2 flags=0x8abe45)
07-14 12:26:57.135 W/PackageManager(  374): Unknown permission android.permission.SEND_SMS_NO_CONFIRMATION in package com.android.vending
07-14 12:26:57.135 W/PackageManager(  374): Unknown permission android.permission.ACCESS_SUPERUSER in package com.speedsoftware.rootexplorer
07-14 12:26:57.135 W/PackageManager(  374): Not granting permission android.permission.WRITE_SECURE_SETTINGS to package com.pekall.nmefc (protectionLevel=50 flags=0x88be44)
07-14 12:26:57.135 W/PackageManager(  374): Unknown permission android.permission.ACCESS_GPS in package com.pekall.nmefc
07-14 12:26:57.135 W/PackageManager(  374): Unknown permission android.permission.BAIDU_LOCATION_SERVICE in package com.pekall.nmefc
07-14 12:26:57.135 W/PackageManager(  374): Not granting permission android.permission.MOUNT_UNMOUNT_FILESYSTEMS to package com.pekall.nmefc (protectionLevel=18 flags=0x88be44)
07-14 12:26:57.158 W/PackageManager(  374): Not granting permission android.permission.READ_DREAM_STATE to package com.google.android.gsf (protectionLevel=2 flags=0x883e45)
07-14 12:26:57.158 W/PackageManager(  374): Unknown permission android.permission.RECEIVE_USER_PRESENT in package com.moji.mjweather
07-14 12:26:57.158 W/PackageManager(  374): Not granting permission android.permission.INTERACT_ACROSS_USERS_FULL to package com.moji.mjweather (protectionLevel=2 flags=0x18be44)
07-14 12:26:57.166 W/PackageManager(  374): Not granting permission android.permission.MOUNT_UNMOUNT_FILESYSTEMS to package com.moji.mjweather (protectionLevel=18 flags=0x18be44)
07-14 12:26:57.166 W/PackageManager(  374): Not granting permission android.permission.READ_LOGS to package com.moji.mjweather (protectionLevel=50 flags=0x18be44)
07-14 12:26:57.315 I/ActivityManager(  374): Force stopping package com.moji.mjweather appid=10082 user=0
07-14 12:26:58.096 I/ActivityManager(  374): Start proc com.qihoo360.mobilesafe for service com.qihoo360.mobilesafe/.service.GuardDelegateService: pid=5981 uid=10072 gids={50072, 3003, 1015, 3001, 3002, 1006, 1028}
07-14 12:26:58.377 D/BackupManagerService(  374): Received broadcast Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.moji.mjweather flg=0x8000010 (has extras) }
07-14 12:26:58.401 W/BackupManagerService(  374): dataChanged but no participant pkg='com.android.providers.settings' uid=10079
07-14 12:26:58.455 D/BackupManagerService(  374): Received broadcast Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.moji.mjweather flg=0x8000010 (has extras) }
07-14 12:26:58.455 V/BackupManagerService(  374): removePackageParticipantsLocked: uid=10082 #1
07-14 12:26:58.463 V/BackupManagerService(  374): addPackageParticipantsLocked: #1
07-14 12:26:58.658 W/BackupManagerService(  374): dataChanged but no participant pkg='com.android.providers.settings' uid=10079
07-14 12:26:59.573 I/ActivityManager(  374): Start proc com.android.keychain for broadcast com.android.keychain/.KeyChainBroadcastReceiver: pid=6000 uid=1000 gids={41000, 1015, 1028, 3002, 3001, 3003, 3007}
07-14 12:26:59.674 W/ContextImpl( 6000): Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1385 android.content.ContextWrapper.startService:473 android.content.ContextWrapper.startService:473 com.android.keychain.KeyChainBroadcastReceiver.onReceive:12 android.app.ActivityThread.handleReceiver:2424 
07-14 12:26:59.916 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:26:59.924 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:26:59.924 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
