--------- beginning of /dev/log/system
07-11 13:52:26.719 I/ActivityManager(  374): No longer want com.google.android.apps.maps:FriendService (pid 27635): empty #17
07-11 14:41:59.609 I/QueryController( 4904): Matched selector: UiSelector[CONTAINS_TEXT=墨迹天气] <<==>> [android.view.accessibility.AccessibilityNodeInfo@860e7; boundsInParent: Rect(0, 0 - 434, 43); boundsInScreen: Rect(147, 132 - 581, 175); packageName: com.pekall.emdm; className: android.widget.TextView; text: 墨迹天气; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_notify_app_name; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:41:59.664 I/QueryController( 4904): Matched selector: UiSelector[CONTAINS_TEXT=墨迹天气] <<==>> [android.view.accessibility.AccessibilityNodeInfo@860e7; boundsInParent: Rect(0, 0 - 434, 43); boundsInScreen: Rect(147, 132 - 581, 175); packageName: com.pekall.emdm; className: android.widget.TextView; text: 墨迹天气; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_notify_app_name; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:41:59.664 D/InteractionController( 4904): clickAndWaitForNewWindow(364, 153)
07-11 14:41:59.781 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm/.market.activity.AppListActivity bnds=[0,123][720,251] (has extras)} from pid -1
07-11 14:41:59.781 W/ActivityManager(  374): startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { cmp=com.pekall.emdm/.market.activity.AppListActivity bnds=[0,123][720,251] (has extras) }
07-11 14:41:59.890 D/dalvikvm(  374): GC_FOR_ALLOC freed 2181K, 26% free 23926K/31996K, paused 107ms, total 107ms
07-11 14:41:59.890 D/MdmApplication( 3259): [null:-1]->onActivityPaused market.activity.AppListActivity , mActivityCount = 3
07-11 14:41:59.898 D/MDM :   ( 3259): [null:-1]->query
07-11 14:41:59.898 D/MDM :   ( 3259): [null:-1]->QUERY_PINCODE_CHECK_RESULT
07-11 14:41:59.898 E/Mdm     ( 3259): Call Mdm service's setLastExitTime function
07-11 14:41:59.906 W/KeyguardViewMediator(  374): verifyUnlock called when not externally disabled
07-11 14:41:59.906 V/PanelView(  450): animationTick called with dtms=0; nothing to do (h=1184.0 v=-4000.0)
07-11 14:41:59.914 I/ActivityManager(  374): No longer want system:ui (pid 32444): empty for 1800s
07-11 14:42:00.000 D/dalvikvm(  450): GC_CONCURRENT freed 1478K, 14% free 15201K/17536K, paused 5ms+15ms, total 87ms
07-11 14:42:00.031 D/MdmApplication( 3259): [null:-1]->onActivityStarted market.activity.AppListActivity , mActivityCount = 2
07-11 14:42:00.031 D/MDM :   ( 3259): [null:-1]->query
07-11 14:42:00.031 D/MDM :   ( 3259): [null:-1]->QUERY_PINCODE_CHECK_RESULT
07-11 14:42:00.062 D/DB      ( 3259): query: SQLiteQuery: SELECT * FROM app WHERE type = 51107
07-11 14:42:00.062 D/DB      ( 3259): factory null
07-11 14:42:00.070 D/DB      ( 3259): fillWindow: 0
07-11 14:42:00.070 D/DB      ( 3259): cursor 2
07-11 14:42:00.086 D/mdm_log ( 3259): [null:-1]->has installed by.game.binumbers
07-11 14:42:00.094 D/DB      ( 3259): query: SQLiteQuery: SELECT * FROM app WHERE type = 51106
07-11 14:42:00.094 D/DB      ( 3259): factory null
07-11 14:42:00.094 D/DB      ( 3259): fillWindow: 0
07-11 14:42:00.094 D/DB      ( 3259): cursor 0
07-11 14:42:00.289 D/DB      ( 3259): moveToPos: 0
07-11 14:42:00.289 D/DB      ( 3259): onMove: 0
07-11 14:42:00.297 D/DB      ( 3259): moveToPos: 1
07-11 14:42:00.297 D/DB      ( 3259): onMove: 1
07-11 14:42:00.297 D/DB      ( 3259): moveToPos: 2
07-11 14:42:00.414 I/ActivityManager(  374): Displayed com.pekall.emdm/.market.activity.AppListActivity: +501ms
07-11 14:42:01.929 I/QueryController( 4904): Matched selector: UiSelector[TEXT=墨迹天气] <<==>> [android.view.accessibility.AccessibilityNodeInfo@78eb9; boundsInParent: Rect(0, 0 - 434, 43); boundsInScreen: Rect(136, 423 - 570, 466); packageName: com.pekall.emdm; className: android.widget.TextView; text: 墨迹天气; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_item_name; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:42:01.937 I/AndroidRuntime( 4904): VM exiting with result code 0.
07-11 14:42:03.992 D/AndroidRuntime( 4987): 
07-11 14:42:03.992 D/AndroidRuntime( 4987): >>>>>> AndroidRuntime START com.android.internal.os.RuntimeInit <<<<<<
07-11 14:42:03.992 D/AndroidRuntime( 4987): CheckJNI is OFF
07-11 14:42:04.008 D/dalvikvm( 4987): Trying to load lib libjavacore.so 0x0
07-11 14:42:04.015 D/dalvikvm( 4987): Added shared lib libjavacore.so 0x0
07-11 14:42:04.031 D/dalvikvm( 4987): Trying to load lib libnativehelper.so 0x0
07-11 14:42:04.031 D/dalvikvm( 4987): Added shared lib libnativehelper.so 0x0
07-11 14:42:04.250 D/AndroidRuntime( 4987): Calling main entry com.android.commands.uiautomator.Launcher
07-11 14:42:04.289 E/UiDevice( 4987): Exceuting watcher: ANRWatcher
07-11 14:42:04.289 E/UiDevice( 4987): java.lang.RuntimeException: UiDevice not initialized
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.uiautomator.core.UiDevice.getAutomatorBridge(UiDevice.java:87)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.uiautomator.core.UiDevice.wakeUp(UiDevice.java:719)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.pekall.test.mdmui.util.UiANRWatcher.checkForCondition(UiANRWatcher.java:23)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.uiautomator.core.UiDevice.runWatchers(UiDevice.java:554)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.pekall.test.mdmui.util.UiANRWatcher.run(UiANRWatcher.java:41)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.pekall.test.mdmui.App.<clinit>(App.java:24)
07-11 14:42:04.289 E/UiDevice( 4987): 	at java.lang.Class.newInstanceImpl(Native Method)
07-11 14:42:04.289 E/UiDevice( 4987): 	at java.lang.Class.newInstance(Class.java:1130)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.uiautomator.testrunner.TestCaseCollector.addSingleTestMethod(TestCaseCollector.java:110)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.uiautomator.testrunner.TestCaseCollector.addTestClass(TestCaseCollector.java:86)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.uiautomator.testrunner.TestCaseCollector.addTestClass(TestCaseCollector.java:72)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.uiautomator.testrunner.TestCaseCollector.addTestClasses(TestCaseCollector.java:53)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.uiautomator.testrunner.UiAutomatorTestRunner.start(UiAutomatorTestRunner.java:106)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.uiautomator.testrunner.UiAutomatorTestRunner.run(UiAutomatorTestRunner.java:96)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.commands.uiautomator.RunTestCommand.run(RunTestCommand.java:91)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.commands.uiautomator.Launcher.main(Launcher.java:83)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.internal.os.RuntimeInit.nativeFinishInit(Native Method)
07-11 14:42:04.289 E/UiDevice( 4987): 	at com.android.internal.os.RuntimeInit.main(RuntimeInit.java:235)
07-11 14:42:04.289 E/UiDevice( 4987): 	at dalvik.system.NativeStart.main(Native Method)
07-11 14:42:04.304 D/dalvikvm( 4987): Note: class Landroid/app/ActivityManagerNative; has 163 unimplemented (abstract) methods
07-11 14:42:04.906 I/QueryController( 4987): Matched selector: UiSelector[TEXT=墨迹天气, CLASS=android.widget.TextView] <<==>> [android.view.accessibility.AccessibilityNodeInfo@78eb9; boundsInParent: Rect(0, 0 - 434, 43); boundsInScreen: Rect(136, 423 - 570, 466); packageName: com.pekall.emdm; className: android.widget.TextView; text: 墨迹天气; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_item_name; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:42:04.914 D/InteractionController( 4987): clickAndWaitForNewWindow(353, 444)
07-11 14:42:05.101 D/mdm_market( 3259): [null:-1]->appinfo : AppInfo{appName='墨迹天气', pkgName='com.moji.mjweather', appVersionCode=33002, appVersionName='3.30.02', appIcon='https://192.168.10.91/resources/api/v1/download/guest?uuid=754d276aeb8d43b4d38614e83b87', appImages='https://192.168.10.91/resources/api/v1/download/guest?uuid=ff8db40b13d1480690f15fe838b1', appSize='10418000', appTag='', appUUID='8a8088bf471a79ec01471a8b5d4c00de', downloadStatus='0', readStatus='1', type='51107', url='https://192.168.10.91/resources/api/v1/download/guest?uuid=b8990980c21a451625892eb7a93a', description='墨迹天气正式版', instantInstall='', time='1405060904721', enforceAppPolicy=''}
07-11 14:42:05.101 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm/.market.activity.AppDetailActivity (has extras)} from pid 3259
07-11 14:42:05.258 D/dalvikvm(  374): GC_FOR_ALLOC freed 1913K, 29% free 22948K/31996K, paused 96ms, total 96ms
07-11 14:42:05.273 D/MdmApplication( 3259): [null:-1]->onActivityPaused market.activity.AppListActivity , mActivityCount = 3
07-11 14:42:05.273 D/MDM :   ( 3259): [null:-1]->query
07-11 14:42:05.273 D/MDM :   ( 3259): [null:-1]->QUERY_PINCODE_CHECK_RESULT
07-11 14:42:05.273 E/Mdm     ( 3259): Call Mdm service's setLastExitTime function
07-11 14:42:05.359 D/MdmApplication( 3259): [null:-1]->onActivityStarted market.activity.AppDetailActivity , mActivityCount = 2
07-11 14:42:05.367 D/MDM :   ( 3259): [null:-1]->query
07-11 14:42:05.367 D/MDM :   ( 3259): [null:-1]->QUERY_PINCODE_CHECK_RESULT
07-11 14:42:05.367 W/System.err( 3259): android.content.pm.PackageManager$NameNotFoundException: com.moji.mjweather
07-11 14:42:05.367 W/System.err( 3259): 	at android.app.ApplicationPackageManager.getPackageInfo(ApplicationPackageManager.java:81)
07-11 14:42:05.367 W/System.err( 3259): 	at com.pekall.emdm.market.activity.AppDetailActivity.onResume(Unknown Source)
07-11 14:42:05.367 W/System.err( 3259): 	at android.app.Instrumentation.callActivityOnResume(Instrumentation.java:1192)
07-11 14:42:05.367 W/System.err( 3259): 	at android.app.Activity.performResume(Activity.java:5211)
07-11 14:42:05.367 W/System.err( 3259): 	at android.app.ActivityThread.performResumeActivity(ActivityThread.java:2780)
07-11 14:42:05.367 W/System.err( 3259): 	at android.app.ActivityThread.handleResumeActivity(ActivityThread.java:2819)
07-11 14:42:05.367 W/System.err( 3259): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2266)
07-11 14:42:05.367 W/System.err( 3259): 	at android.app.ActivityThread.access$600(ActivityThread.java:141)
07-11 14:42:05.375 W/System.err( 3259): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1256)
07-11 14:42:05.375 W/System.err( 3259): 	at android.os.Handler.dispatchMessage(Handler.java:99)
07-11 14:42:05.375 W/System.err( 3259): 	at android.os.Looper.loop(Looper.java:137)
07-11 14:42:05.375 W/System.err( 3259): 	at android.app.ActivityThread.main(ActivityThread.java:5103)
07-11 14:42:05.375 W/System.err( 3259): 	at java.lang.reflect.Method.invokeNative(Native Method)
07-11 14:42:05.375 W/System.err( 3259): 	at java.lang.reflect.Method.invoke(Method.java:525)
07-11 14:42:05.375 W/System.err( 3259): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:737)
07-11 14:42:05.375 W/System.err( 3259): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
07-11 14:42:05.375 W/System.err( 3259): 	at dalvik.system.NativeStart.main(Native Method)
07-11 14:42:05.375 D/ypy     ( 3259): [null:-1]-> ================ checkDownLoadStatus status is 0
07-11 14:42:05.594 I/ActivityManager(  374): Displayed com.pekall.emdm/.market.activity.AppDetailActivity: +292ms
07-11 14:42:06.187 I/QueryController( 4987): Matched selector: UiSelector[TEXT=墨迹天气正式版, CLASS=android.widget.TextView] <<==>> [android.view.accessibility.AccessibilityNodeInfo@87efa; boundsInParent: Rect(0, 0 - 680, 38); boundsInScreen: Rect(20, 959 - 700, 997); packageName: com.pekall.emdm; className: android.widget.TextView; text: 墨迹天气正式版; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_app_introduce_content; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:42:06.289 I/QueryController( 4987): Matched selector: UiSelector[TEXT=下载, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@86874; boundsInParent: Rect(0, 0 - 640, 76); boundsInScreen: Rect(40, 1068 - 680, 1144); packageName: com.pekall.emdm; className: android.widget.Button; text: 下载; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_app_detail_download_btn; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:42:06.289 D/InteractionController( 4987): clickAndSync(360, 1106)
07-11 14:42:06.406 D/MarketDatabaseHelper( 3259): [null:-1]->----------urlStr =com.moji.mjweather
07-11 14:42:06.406 E/DB      ( 3259): bind, index: 1, value: com.moji.mjweather
07-11 14:42:06.406 D/DB      ( 3259): query: SQLiteQuery: SELECT package, endPos, status, size, downloadUrl FROM app WHERE package=?
07-11 14:42:06.406 D/DB      ( 3259): factory null
07-11 14:42:06.406 D/DB      ( 3259): fillWindow: 0
07-11 14:42:06.406 D/DB      ( 3259): cursor 1
07-11 14:42:06.406 D/DB      ( 3259): moveToPos: 0
07-11 14:42:06.406 D/DB      ( 3259): onMove: 0
07-11 14:42:06.406 D/mdm_log ( 3259): [null:-1]->info.downLoadPos  : 0
07-11 14:42:06.414 D/mdm_log ( 3259): [null:-1]->file.length  : 0
07-11 14:42:06.414 D/ypy     ( 3259): [null:-1]-> ================ checkDownLoadStatus status is 1
07-11 14:42:06.609 D/DB      ( 3259): query: SQLiteQuery: SELECT * FROM app WHERE readStatus =0
07-11 14:42:06.609 D/DB      ( 3259): factory null
07-11 14:42:06.609 D/DB      ( 3259): fillWindow: 0
07-11 14:42:06.609 D/DB      ( 3259): cursor 0
07-11 14:42:06.617 D/DB      ( 3259): query: SQLiteQuery: SELECT * FROM app WHERE type = 51107
07-11 14:42:06.617 D/DB      ( 3259): factory null
07-11 14:42:06.617 D/DB      ( 3259): fillWindow: 0
07-11 14:42:06.617 D/DB      ( 3259): cursor 2
07-11 14:42:06.617 E/Mdm     ( 3259): Call Mdm service's recordIconCount function
07-11 14:42:06.617 D/DB      ( 3259): query: SQLiteQuery: SELECT * FROM app WHERE type = 51107
07-11 14:42:06.617 D/DB      ( 3259): factory null
07-11 14:42:06.625 D/DB      ( 3259): fillWindow: 0
07-11 14:42:06.625 D/DB      ( 3259): cursor 2
07-11 14:42:06.640 D/DB      ( 3259): moveToPos: 0
07-11 14:42:06.640 D/DB      ( 3259): onMove: 0
07-11 14:42:06.640 D/DB      ( 3259): moveToPos: 1
07-11 14:42:06.640 D/DB      ( 3259): onMove: 1
07-11 14:42:06.640 D/DB      ( 3259): moveToPos: 2
07-11 14:42:06.648 D/mdm_log ( 3259): [null:-1]->lastModifiedDate : null
07-11 14:42:06.648 D/DB      ( 3259): moveToPos: 0
07-11 14:42:06.648 D/mdm_log ( 3259): [null:-1]->serverLastModifiedDate : null
07-11 14:42:06.648 D/DB      ( 3259): onMove: 0
07-11 14:42:06.648 D/DB      ( 3259): moveToPos: 1
07-11 14:42:06.648 D/DB      ( 3259): onMove: 1
07-11 14:42:06.656 D/DB      ( 3259): moveToPos: 2
07-11 14:42:07.367 D/dalvikvm(20727): GC_CONCURRENT freed 429K, 8% free 10124K/10920K, paused 4ms+4ms, total 57ms
07-11 14:42:10.078 D/dalvikvm( 3259): GC_FOR_ALLOC freed 3043K, 26% free 19148K/25600K, paused 68ms, total 68ms
07-11 14:42:11.461 D/dalvikvm( 4987): GC_FOR_ALLOC freed 7577K, 93% free 614K/8192K, paused 44ms, total 44ms
07-11 14:42:11.758 D/dalvikvm( 4987): GC_FOR_ALLOC freed 505K, 93% free 620K/8192K, paused 11ms, total 11ms
07-11 14:42:12.047 D/dalvikvm( 4987): GC_FOR_ALLOC freed 499K, 93% free 633K/8192K, paused 8ms, total 8ms
07-11 14:42:12.328 D/dalvikvm( 4987): GC_FOR_ALLOC freed 517K, 58% free 627K/1476K, paused 11ms, total 11ms
07-11 14:42:12.656 D/dalvikvm( 4987): GC_FOR_ALLOC freed 518K, 58% free 621K/1476K, paused 8ms, total 8ms
07-11 14:42:12.969 D/dalvikvm( 4987): GC_FOR_ALLOC freed 501K, 58% free 631K/1476K, paused 8ms, total 8ms
07-11 14:42:13.297 D/dalvikvm( 4987): GC_FOR_ALLOC freed 531K, 59% free 611K/1476K, paused 7ms, total 7ms
07-11 14:42:13.586 D/dalvikvm( 4987): GC_FOR_ALLOC freed 500K, 58% free 623K/1476K, paused 9ms, total 9ms
07-11 14:42:13.867 D/dalvikvm( 4987): GC_FOR_ALLOC freed 505K, 58% free 630K/1476K, paused 7ms, total 8ms
07-11 14:42:14.133 D/dalvikvm( 4987): GC_FOR_ALLOC freed 531K, 59% free 611K/1476K, paused 7ms, total 7ms
07-11 14:42:14.437 D/dalvikvm( 4987): GC_FOR_ALLOC freed 497K, 58% free 625K/1476K, paused 7ms, total 7ms
07-11 14:42:14.695 D/dalvikvm( 4987): GC_FOR_ALLOC freed 508K, 58% free 629K/1476K, paused 8ms, total 8ms
07-11 14:42:15.008 D/dalvikvm( 4987): GC_FOR_ALLOC freed 513K, 58% free 627K/1476K, paused 7ms, total 9ms
07-11 14:42:15.320 D/dalvikvm( 4987): GC_FOR_ALLOC freed 511K, 58% free 627K/1476K, paused 6ms, total 7ms
07-11 14:42:15.594 D/dalvikvm( 4987): GC_FOR_ALLOC freed 511K, 58% free 628K/1476K, paused 7ms, total 8ms
07-11 14:42:15.844 D/dalvikvm( 4987): GC_FOR_ALLOC freed 531K, 59% free 608K/1476K, paused 8ms, total 8ms
07-11 14:42:16.148 D/dalvikvm( 4987): GC_FOR_ALLOC freed 491K, 58% free 628K/1476K, paused 10ms, total 10ms
07-11 14:42:16.429 D/dalvikvm( 4987): GC_FOR_ALLOC freed 514K, 58% free 626K/1476K, paused 8ms, total 8ms
07-11 14:42:16.742 D/dalvikvm( 4987): GC_FOR_ALLOC freed 527K, 59% free 610K/1476K, paused 7ms, total 8ms
07-11 14:42:17.023 D/dalvikvm( 4987): GC_FOR_ALLOC freed 491K, 58% free 630K/1476K, paused 7ms, total 8ms
07-11 14:42:17.312 D/dalvikvm( 4987): GC_FOR_ALLOC freed 533K, 59% free 609K/1476K, paused 9ms, total 9ms
07-11 14:42:17.656 D/dalvikvm( 4987): GC_FOR_ALLOC freed 509K, 59% free 611K/1476K, paused 7ms, total 7ms
07-11 14:42:17.922 D/dalvikvm( 4987): GC_FOR_ALLOC freed 491K, 58% free 632K/1476K, paused 7ms, total 8ms
07-11 14:42:18.265 D/dalvikvm( 4987): GC_FOR_ALLOC freed 533K, 59% free 610K/1476K, paused 6ms, total 8ms
07-11 14:42:18.617 D/dalvikvm( 3259): GC_FOR_ALLOC freed 3651K, 27% free 18930K/25600K, paused 71ms, total 71ms
07-11 14:42:18.711 D/dalvikvm( 4987): GC_FOR_ALLOC freed 509K, 59% free 613K/1476K, paused 7ms, total 7ms
07-11 14:42:19.031 D/dalvikvm( 4987): GC_FOR_ALLOC freed 491K, 58% free 634K/1476K, paused 12ms, total 13ms
07-11 14:42:19.336 D/dalvikvm( 4987): GC_FOR_ALLOC freed 534K, 59% free 611K/1476K, paused 8ms, total 8ms
07-11 14:42:19.648 D/dalvikvm( 4987): GC_FOR_ALLOC freed 509K, 59% free 614K/1476K, paused 7ms, total 8ms
07-11 14:42:19.945 D/dalvikvm( 4987): GC_FOR_ALLOC freed 491K, 57% free 635K/1476K, paused 7ms, total 7ms
07-11 14:42:20.203 D/dalvikvm( 4987): GC_FOR_ALLOC freed 536K, 59% free 610K/1476K, paused 7ms, total 7ms
07-11 14:42:20.523 D/dalvikvm( 4987): GC_FOR_ALLOC freed 506K, 59% free 616K/1476K, paused 9ms, total 9ms
07-11 14:42:20.820 D/dalvikvm( 4987): GC_FOR_ALLOC freed 494K, 57% free 634K/1476K, paused 8ms, total 8ms
07-11 14:42:21.140 D/dalvikvm( 4987): GC_FOR_ALLOC freed 520K, 58% free 626K/1476K, paused 7ms, total 7ms
07-11 14:42:21.484 D/dalvikvm( 4987): GC_FOR_ALLOC freed 520K, 59% free 617K/1476K, paused 11ms, total 12ms
07-11 14:42:21.773 D/dalvikvm( 4987): GC_FOR_ALLOC freed 495K, 58% free 634K/1476K, paused 8ms, total 9ms
07-11 14:42:22.062 D/dalvikvm( 4987): GC_FOR_ALLOC freed 533K, 59% free 612K/1476K, paused 6ms, total 7ms
07-11 14:42:22.406 D/dalvikvm( 4987): GC_FOR_ALLOC freed 504K, 58% free 620K/1476K, paused 7ms, total 8ms
07-11 14:42:22.703 D/dalvikvm( 4987): GC_FOR_ALLOC freed 499K, 58% free 633K/1476K, paused 7ms, total 7ms
07-11 14:42:22.992 D/dalvikvm( 4987): GC_FOR_ALLOC freed 517K, 58% free 627K/1476K, paused 11ms, total 11ms
07-11 14:42:23.351 D/dalvikvm( 4987): GC_FOR_ALLOC freed 518K, 58% free 621K/1476K, paused 9ms, total 9ms
07-11 14:42:23.633 D/dalvikvm( 4987): GC_FOR_ALLOC freed 501K, 58% free 631K/1476K, paused 8ms, total 8ms
07-11 14:42:23.898 D/dalvikvm( 4987): GC_FOR_ALLOC freed 516K, 58% free 627K/1476K, paused 8ms, total 8ms
07-11 14:42:24.211 D/dalvikvm( 4987): GC_FOR_ALLOC freed 515K, 58% free 623K/1476K, paused 10ms, total 11ms
07-11 14:42:24.523 D/dalvikvm( 4987): GC_FOR_ALLOC freed 505K, 58% free 630K/1476K, paused 8ms, total 9ms
07-11 14:42:24.797 D/dalvikvm( 4987): GC_FOR_ALLOC freed 530K, 59% free 611K/1476K, paused 6ms, total 6ms
07-11 14:42:25.101 D/dalvikvm( 4987): GC_FOR_ALLOC freed 498K, 58% free 624K/1476K, paused 11ms, total 11ms
07-11 14:42:25.390 D/dalvikvm( 4987): GC_FOR_ALLOC freed 506K, 58% free 630K/1476K, paused 7ms, total 7ms
07-11 14:42:25.703 D/dalvikvm( 4987): GC_FOR_ALLOC freed 530K, 59% free 611K/1476K, paused 9ms, total 10ms
07-11 14:42:26.000 D/dalvikvm( 4987): GC_FOR_ALLOC freed 496K, 58% free 626K/1476K, paused 9ms, total 9ms
07-11 14:42:26.304 D/dalvikvm( 4987): GC_FOR_ALLOC freed 509K, 58% free 629K/1476K, paused 8ms, total 8ms
07-11 14:42:26.594 D/dalvikvm( 4987): GC_FOR_ALLOC freed 532K, 59% free 608K/1476K, paused 6ms, total 6ms
07-11 14:42:26.898 D/dalvikvm(25429): GC_CONCURRENT freed 442K, 6% free 9698K/10260K, paused 2ms+3ms, total 50ms
07-11 14:42:26.992 D/dalvikvm( 4987): GC_FOR_ALLOC freed 493K, 58% free 627K/1476K, paused 7ms, total 8ms
07-11 14:42:27.250 D/dalvikvm( 3259): GC_FOR_ALLOC freed 3383K, 27% free 18908K/25600K, paused 77ms, total 77ms
07-11 14:42:27.265 D/MdmService( 3259): [null:-1]->receiver action :com.pekall.mdm.action.MDM_ALARM
07-11 14:42:27.297 D/MdmService( 3259): [null:-1]->keepAliveWithPushServer client is opened:true
07-11 14:42:27.297 D/MDM :   ( 3259): [null:-1]->ping!!!!!!!!!
07-11 14:42:27.297 D/MdmService( 3259): [null:-1]->pushUrl : ws://192.168.10.91:9070/websocket
07-11 14:42:27.304 D/MDM :   ( 3259): [null:-1]->mMdmPushClient is :not null
07-11 14:42:27.304 D/MDM :   ( 3259): [null:-1]->mMdmPushClient opened : opened
07-11 14:42:27.328 D/MDM :   ( 3259): [null:-1]->MSG_WEBSOCKET_PONG
07-11 14:42:27.367 D/dalvikvm( 4987): GC_FOR_ALLOC freed 510K, 58% free 628K/1476K, paused 7ms, total 7ms
07-11 14:42:27.679 D/dalvikvm( 4987): GC_FOR_ALLOC freed 531K, 59% free 608K/1476K, paused 7ms, total 7ms
07-11 14:42:27.961 D/dalvikvm( 4987): GC_FOR_ALLOC freed 490K, 58% free 630K/1476K, paused 10ms, total 10ms
07-11 14:42:28.273 D/dalvikvm( 4987): GC_FOR_ALLOC freed 515K, 58% free 626K/1476K, paused 7ms, total 7ms
07-11 14:42:28.562 D/dalvikvm( 4987): GC_FOR_ALLOC freed 528K, 59% free 610K/1476K, paused 6ms, total 7ms
07-11 14:42:28.844 D/dalvikvm( 4987): GC_FOR_ALLOC freed 491K, 58% free 630K/1476K, paused 11ms, total 11ms
07-11 14:42:29.140 D/dalvikvm( 4987): GC_FOR_ALLOC freed 517K, 58% free 625K/1476K, paused 8ms, total 8ms
07-11 14:42:29.422 D/dalvikvm( 4987): GC_FOR_ALLOC freed 526K, 59% free 611K/1476K, paused 7ms, total 7ms
07-11 14:42:29.703 D/dalvikvm( 4987): GC_FOR_ALLOC freed 490K, 58% free 633K/1476K, paused 8ms, total 8ms
07-11 14:42:29.976 D/dalvikvm( 4987): GC_FOR_ALLOC freed 534K, 59% free 610K/1476K, paused 6ms, total 6ms
07-11 14:42:30.289 D/dalvikvm( 4987): GC_FOR_ALLOC freed 509K, 59% free 613K/1476K, paused 7ms, total 8ms
07-11 14:42:30.586 D/dalvikvm( 4987): GC_FOR_ALLOC freed 491K, 58% free 633K/1476K, paused 8ms, total 8ms
